"CCU","Description","Description Group","Supplier","Ownership","Department","Last Seen","Last Seen Date","Test Expiry","Pressure Test Expiry","Disposal Date","Reporting Period"
"OMSU1000200","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Barrow Island MOF","2025-12-08","","","","2021-08-03"
"OMSU1000215","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Dampier","2025-11-15","","","","2021-08-03"
"OMSU1000220","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA111","Perth Supply Base","2025-12-03","","","","2021-08-03"
"OMSU1000236","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Perth Supply Base","2025-04-01","","","","2021-08-03"
"OMSU1000241","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Perth Supply Base","2023-01-14","","","","2021-08-03"
"OMSU1000257","40'FR Super","40' Super","Gorgon Owned","GFP","Gorgon CO2","Perth Supply Base","2023-01-14","","","","2021-08-03"
"OMSU1000262","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Pickles Auctions - Perth","2025-10-29","","","","2021-08-03"
"OMSU1000278","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Perth Supply Base","2023-01-14","","","","2021-08-03"
"OMSU1000283","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Perth Supply Base","2023-01-14","","","","2021-08-03"
"OMSU1000299","40'FR Super","40' Super","Gorgon Owned","GFP","ABU SCM Waste","Perth Supply Base","2025-07-01","","","","2021-08-03"
"OMSU1000302","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Perth Supply Base","2025-07-15","","","","2021-08-03"
"OMSU1000318","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Perth Supply Base","2025-06-04","","","","2021-08-03"
"OMSU1000323","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Dampier","2021-11-16","","","","2021-08-03"
"OMSU1000339","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Dampier","2025-06-13","","","","2021-08-03"
"OMSU1000344","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","CTI - Bibra Lake","2025-12-01","","","","2021-08-03"
"OMSU1000350","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"OMSU1000365","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","QUBE CONTAINER PARK","2025-09-22","","","","2021-08-03"
"OMSU1000370","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Wheatstone Downstream","2022-10-22","","","","2021-08-03"
"OMSU1000386","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Disposal Contractor","2021-12-05","","","2021-12-06","2021-08-03"
"OMSU1000391","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Barrow Island MOF","2025-12-08","","","","2021-08-03"
"OMSU1000405","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Perth Supply Base","2025-12-03","","","","2021-08-03"
"OMSU1000410","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Expro","2025-09-22","","","2023-09-02","2021-08-03"
"OMSU1000426","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Technip FMC","2025-10-09","","","","2021-08-03"
"OMSU1000431","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Perth Supply Base","2025-06-26","","","","2021-08-03"
"OMSU1000447","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Dampier","2025-11-22","","","","2021-08-03"
"OMSU1000452","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"OMSU1000468","40'FR Super","40' Super","Gorgon Owned","GFP","WHSUS","Perth Supply Base","2025-03-25","","","","2021-08-03"
"OMSU1000489","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Barrow Island","2025-12-07","","","","2021-08-03"
"OMSU1000494","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Perth Supply Base","2025-06-11","","","","2021-08-03"
"OMSU1000508","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Dampier","2025-07-08","","","","2021-08-03"
"OMSU1000513","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Dampier","2024-07-03","","","","2021-08-03"
"OMSU1000529","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Dampier","2021-09-28","","","","2021-08-03"
"OMSU1000534","40'FR Super","40' Super","Gorgon Owned","GFP","","AGC - KWINANA","2025-11-27","","","","2021-08-03"
"OMSU1000540","40'FR Super","40' Super","Gorgon Owned","GFP","ABU SCM Waste","QUBE CONTAINER PARK","2025-03-20","","","","2021-08-03"
"OMSU1000560","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Perth Supply Base","2024-07-10","","","","2021-08-03"
"OMSU1000576","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Perth Supply Base","2025-12-08","","","","2021-08-03"
"OMSU1000581","40'FR Super","40' Super","Gorgon Owned","GFP","UN","AGC - KWINANA","2025-11-27","","","","2021-08-03"
"OMSU1000597","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Pickles Auctions - Perth","2025-11-12","","","","2021-08-03"
"OMSU1000600","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Dampier","2021-11-16","","","","2021-08-03"
"OMSU1000616","40'FR Super","40' Super","Gorgon Owned","GFP","ABU SCM Waste","Carnarvon Road Train Assembley","2023-10-23","","","","2021-08-03"
"OMSU1000621","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Perth Supply Base","2025-06-09","","","","2021-08-03"
"OMSU1000637","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Dampier Supply Base - Area C","2025-05-02","","","","2021-08-03"
"OMSU1000642","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Perth Supply Base","2025-11-28","","","","2021-08-03"
"OMSU1000658","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Barrow Island","2025-12-02","","","","2021-08-03"
"OMSU1000663","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Pickles Auctions - Perth","2025-06-18","","","","2021-08-03"
"OMSU1000684","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA111","Dampier","2025-09-22","","","","2021-08-03"
"OMSU1000690","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Dampier","2025-12-06","","","","2021-08-03"
"OMSU1000703","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Barrow Island","2025-12-05","","","","2021-08-03"
"OMSU1000719","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","QUBE CONTAINER PARK","2025-06-25","","","","2021-08-03"
"OMSU1000724","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Barrow Island MOF","2025-12-08","","","","2021-08-03"
"OMSU1000730","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Perth Supply Base","2024-07-05","","","","2021-08-03"
"OMSU1000745","40'FR Super","40' Super","Gorgon Owned","GFP","GFP","Barrow Island MOF","2025-11-15","","","","2021-08-03"
"OMSU1000750","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Barrow Island MOF","2025-12-08","","","","2021-08-03"
"OMSU1000766","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Perth Supply Base","2025-12-05","","","","2021-08-03"
"OMSU1000771","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","NORTH WEST SUPPLY BASE","2025-06-03","","","","2021-08-03"
"OMSU1000787","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Perth Supply Base","2025-06-05","","","","2021-08-03"
"OMSU1000792","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Perth Supply Base","2023-01-29","","","2023-01-10","2021-08-03"
"OMSU1000806","40'FR Super Storage","40' Super","Gorgon Owned","GFP","GGN TA","Dampier","2025-12-02","","","","2021-08-03"
"OMSU1000811","40'FR Super","40' Super","Gorgon Owned","GFP","WHSUS","QUBE CONTAINER PARK","2025-06-25","","","","2021-08-03"
"OMSU1000827","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Barrow Island","2025-11-30","","","","2021-08-03"
"OMSU1000832","40'FR Super","40' Super","Gorgon Owned","GFP","","Shorpak - Henderson","2025-12-04","","","","2021-08-03"
"OMSU1000848","40'FR Super","40' Super","Gorgon Owned","GFP","GORGON OPERATIONS","Shorpak - Henderson","2025-11-26","","","","2021-08-03"
"OMSU1000869","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","CTI - Bibra Lake","2025-12-01","","","","2021-08-03"
"OMSU1000874","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA111","Perth Supply Base","2024-12-16","","","","2021-08-03"
"OMSU1000880","40'FR Super","40' Super","Gorgon Owned","GFP","Gorgon CO2","Dampier","2024-07-10","","","","2021-08-03"
"OMSU1000895","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Perth Supply Base","2023-01-14","","","","2021-08-03"
"OMSU1000909","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA111","Perth Supply Base","2024-07-01","","","","2021-08-03"
"OMSU1000914","40'FR Super","40' Super","Gorgon Owned","GFP","UN","Perth Supply Base","2025-10-08","","","","2021-08-03"
"OMSU1000920","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Perth Supply Base","2025-09-16","","","","2021-08-03"
"OMSU1000935","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA111","Perth Supply Base","2024-07-11","","","","2021-08-03"
"OMSU1000940","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA111","NORTH WEST SUPPLY BASE","2025-06-03","","","","2021-08-03"
"OMSU1000956","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Dampier","2019-09-23","","","","2021-08-03"
"OMSU1000961","40'FR Super","40' Super","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"OMSU1000977","40'FR Super","40' Super","Gorgon Owned","GFP","GGN TA","Dampier","2024-06-12","","","","2021-08-03"
"OMSU1000982","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Dampier","2025-10-28","","","","2021-08-03"
"OMSU1000998","40'FR Super","40' Super","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Perth Supply Base","2025-11-06","","","","2021-08-03"
"OS0531","GASCAGE","","Wheatstone Owned","","","Barrow Island","2025-10-02","","","","2022-11-23"
"OS1392","GASCAGE","","Wheatstone Owned","","","Perth Supply Base","2025-04-08","","","","2022-11-23"
"OS1454","GASCAGE","","Wheatstone Owned","","","Dampier","2025-03-03","","","","2022-11-23"
"OS1565","GASCAGE","","Wheatstone Owned","","","Barrow Island MOF","2022-12-20","","","","2022-11-23"
"OS1631","GASCAGE","","Wheatstone Owned","","","Dampier","2025-11-05","","","","2022-11-23"
"OS2174","GASCAGE","","Wheatstone Owned","","","NORTH WEST SUPPLY BASE","2025-05-13","","","","2022-11-23"
"OS2577","GASCAGE","","Wheatstone Owned","","","Perth Supply Base","2025-04-08","","","","2022-11-23"
"OS2678","GASCAGE","","Wheatstone Owned","","","Wheatstone Downstream","2022-12-09","","","","2022-11-23"
"OS2718","GASCAGE","","Wheatstone Owned","","","Dampier Supply Base - Area C","2025-03-27","","","","2022-11-23"
"OS2988","GASCAGE","","Wheatstone Owned","","","Perth Supply Base","2025-10-28","","","","2022-11-23"
"OS3015","GASCAGE","","Wheatstone Owned","","","Dampier","2024-06-02","","","","2022-11-23"
"OSU3626174","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PACU1242249","40'HC-LV","40' High Cube","Gorgon Owned","GFP","WHSDS","Dampier","2019-12-20","","","","2021-08-03"
"PACU1242254","40'HC Storage","40' High Cube","Gorgon Owned","GFP","GGN TA","Perth Supply Base","2025-05-19","","","","2021-08-03"
"PACU1242260","40'HC Storage","40' High Cube","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","Dampier","2020-10-19","","","","2021-08-03"
"PACU1242275","40'HC","40' High Cube","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"PBXU2212462","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PBXU9000001","CONTAINER 40FT GENERAL PURPOSE STORAGE","40' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"PBXU9000439","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU2014030","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU2057284","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU2085584","20FT GENERAL PURPOSE","","Wheatstone Owned","","","ROSS'S AUCTIONEERS & VALUERS","2023-12-15","","","","2022-11-23"
"PCIU2087756","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU2090873","20FT GENERAL PURPOSE","","Wheatstone Owned","","","ROSS'S AUCTIONEERS & VALUERS","2024-01-12","","","2023-12-17","2022-11-23"
"PCIU2097991","20FT GENERAL PURPOSE","","Wheatstone Owned","","","NORTH WEST SUPPLY BASE","2024-08-23","","","","2022-11-23"
"PCIU2102840","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU2105510","20FT GENERAL PURPOSE","","Wheatstone Owned","","","NORTH WEST SUPPLY BASE","2024-08-23","","","","2022-11-23"
"PCIU2133620","20FT GENERAL PURPOSE","","Wheatstone Owned","","","NORTH WEST SUPPLY BASE","2024-08-23","","","","2022-11-23"
"PCIU2200800","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU3021938","20FT GENERAL PURPOSE","","Wheatstone Owned","","","ROSS'S AUCTIONS","2024-11-08","","","","2022-11-23"
"PCIU3055012","20FT GENERAL PURPOSE","","Wheatstone Owned","","","NORTH WEST SUPPLY BASE","2024-10-25","","","","2022-11-23"
"PCIU3814736","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU3851750","20FT GENERAL PURPOSE","","Wheatstone Owned","","","NORTH WEST SUPPLY BASE","2023-12-14","","","","2022-11-23"
"PCIU4487875","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCIU8078690","40FT HIGH CUBE","","Wheatstone Owned","","","Sadleirs Resources","2023-04-27","","","2023-04-04","2022-11-23"
"PCIU8081138","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Disposal Contractor","2023-06-25","","","2023-06-26","2022-11-23"
"PCIU8273927","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PCLU9969144","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"POCU0591780","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"POCU1203658","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"POCU1216402","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PORU2051780","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PRSU2136192","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"PRTU0900279","20' HC Container","20' High Cube","Gorgon Owned","GFP","","Barrow Island MOF","2024-11-09","","","","2021-08-03"
"PSSU4012037","40'GP","40' Container","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"PSSU4013408","40'GP Storage","40' Container","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"PSSU4013429","40'GP","40' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-17","","","","2021-08-03"
"PSSU4013434","40'GP Storage","40' Container","Gorgon Owned","GFP","GORGON OPERATIONS","Disposal Contractor","2021-12-05","","","2021-12-06","2021-08-03"
"PSSU4013516","40'GP","40' Container","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"PSSU4013584","40'GP","40' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-18","","","","2021-08-03"
"PSSU4016942","40'GP","40' Container","Gorgon Owned","GFP","","Barrow Island MOF","2021-12-08","","","","2021-08-03"
"PSSU4017548","40'GP","40' Container","Gorgon Owned","GFP","","Perth Supply Base","2025-05-09","","","","2021-08-03"
"PSSU4021363","CONTAINER 40FT FIXTURE - SC CONTROL CABIN","40' Fixture","Gorgon Owned","Gorgon Ops","","Barrow Island MOF","2022-04-17","","","","2021-08-03"
"RAUU6000170","40FT REEFER","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"RAUU6002639","40FT REEFER","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"RAVU0303040","CONTAINER 20FT REEFER","20' Reefer","Gorgon Owned","ABU","TVI - ONSHORE","Dampier","2019-01-18","","","","2021-08-03"
"RAVU0306558","CONTAINER 20FT REEFER","20' Reefer","Gorgon Owned","ABU","GORGON OPERATIONS","DOWNER BIBRA LAKE","2022-10-04","","","","2021-08-03"
"REGU5028020","40FT HIGH CUBE","","Wheatstone Owned","","","Disposal Contractor","2023-04-03","","","2023-04-04","2022-11-23"
"RSCU2000158","CONTAINER 20FT REEFER","20' Reefer","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RSSU2006615","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","","Dampier","2022-07-07","","","","2021-08-03"
"RSSU4102555","CONTAINER 40FT GENERAL PURPOSE","40' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RSSU4302555","40'GP","40' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RSSU7239223","20FT HALF HEIGHT","","Wheatstone Owned","","","Royal Wolf","2023-11-21","","","","2022-11-23"
"RWCM3031115","CONTAINER 20FT FIXTURE - CRIB ROOM","20' Fixture","Gorgon Owned","Gorgon Ops","TVI - ONSHORE","","2018-11-01","","","","2021-08-03"
"RWCU9777809","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"RWCU9777820","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"RWLU2000238","20' REEFER","","Gorgon Owned","ABU","",,"","","","","2021-08-03"
"RWLU2039793","20' GP Container w/ modifications for rigging equipment","20' Fixture","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"RWLU3056330","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Royal Wolf","2025-09-10","","","","2022-11-23"
"RWLU3600026","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3600068","20'HH Waste","20' Half Height","Gorgon Owned","GFP","ABU FE - GORGON","Dampier","2019-08-26","","","","2021-08-03"
"RWLU3600094","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3600181","20'HH Waste","20' Half Height","Gorgon Owned","GFP","","Disposal Contractor","2022-07-05","","","2022-07-06","2021-08-03"
"RWLU3600520","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-11-06","","","","2021-08-03"
"RWLU3600582","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-08-08","","","","2021-08-03"
"RWLU3600622","20'HH Waste No Lid","20' Half Height","Gorgon Owned","GFP","GFP","","2018-06-09","","","","2021-08-03"
"RWLU3600704","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-04-08","","","","2021-08-03"
"RWLU3600730","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3600812","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-01-12","","","","2021-08-03"
"RWLU3600828","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","Disposal Contractor","2024-08-14","","","2024-08-15","2021-08-03"
"RWLU3600833","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GORGON OPERATIONS","","2018-06-09","","","","2021-08-03"
"RWLU3600962","20'HH Waste","20' Half Height","Gorgon Owned","GFP","UNASSIGNED EMPTY ASSET","NORTH WEST SUPPLY BASE","2021-01-03","","","","2021-08-03"
"RWLU3601017","20'HH Waste","20' Half Height","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"RWLU3601130","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3601207","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-02-09","","","","2021-08-03"
"RWLU3601341","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-04-08","","","","2021-08-03"
"RWLU3601439","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-09-07","","","","2021-08-03"
"RWLU3601465","20'HH Waste","20' Half Height","Gorgon Owned","GFP","WHSUS","NORTH WEST SUPPLY BASE","2021-01-03","","","","2021-08-03"
"RWLU3601470","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3601594","20'HH Waste","20' Half Height","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"RWLU3601655","20'HH Waste","20' Half Height","Gorgon Owned","GFP","ABU SCM Waste","Dampier","2020-01-02","","","","2021-08-03"
"RWLU3601660","20'HH Waste","20' Half Height","Gorgon Owned","GFP","WA Oil",,"","","","","2021-08-03"
"RWLU3601681","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3601737","20'HH Waste","20' Half Height","Gorgon Owned","GFP","ABU FE - GORGON","Dampier","2019-09-10","","","","2021-08-03"
"RWLU3601948","20'HH Waste","20' Half Height","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"RWLU3601995","20'HH Waste Storage","20' Half Height","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"RWLU3602116","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3602190","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3602287","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP","","2017-12-10","","","","2021-08-03"
"RWLU3602311","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU3602374","20'HH Waste","20' Half Height","Gorgon Owned","GFP","GFP",,"","","","","2021-08-03"
"RWLU7018965","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-17","","","","2021-08-03"
"RWLU7021613","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","GFP","","Barrow Island MOF","2023-11-01","","","","2021-08-03"
"RWLU7023529","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU7027870","CONTAINER 20FT GENERAL PURPOSE STORAGE","20' Container","Gorgon Owned","Gorgon Ops","","Disposal Contractor","2023-02-27","","","2023-02-28","2021-08-03"
"RWLU7041754","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","","Pickles Auctions - Perth","2025-05-07","","","","2021-08-03"
"RWLU7042447","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU70430000","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"RWLU7043145","CONTAINER 20FT GENERAL PURPOSE STORAGE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU7044769","20'GP Storage","20' Container","Gorgon Owned","GFP","GORGON OPERATIONS","Perth Supply Base","2023-01-14","","","","2021-08-03"
"RWLU7045277","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU7046695","20'GP Storage","20' Container","Gorgon Owned","GFP","","Barrow Island MOF","2023-11-01","","","","2021-08-03"
"RWLU7046925","CONTAINER 20FT GENERAL PURPOSE STORAGE","20' Container","Gorgon Owned","Gorgon Ops","WA Oil","Perth Supply Base","2023-01-14","","","","2021-08-03"
"RWLU7048424","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-17","","","","2021-08-03"
"RWLU7048450","CONTAINER 40FT GENERAL PURPOSE","40' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-17","","","","2021-08-03"
"RWLU7048466","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-17","","","","2021-08-03"
"RWLU8100050","20FT","","Wheatstone Owned","","","HAWK","2022-12-19","","","","2022-11-23"
"RWLU8100933","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","","Barrow Island MOF","2025-12-08","","","","2021-08-03"
"RWLU8101502","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","","Pickles Auctions - Perth","2025-11-06","","","","2021-08-03"
"RWLU8101585","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"RWLU8102089","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-17","","","","2021-08-03"
"RWLU8104667","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8105030","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8105529","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8107270","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Royal Wolf","2025-09-10","","","","2022-11-23"
"RWLU8119190","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8123585","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8125227","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8125820","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8126305","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"RWLU8126429","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
